27706,2,7,1,46,49,46,19,4,27,23,2,29
86251,7,2,9,43,29,34,44,20,19,31,9,41
73614,3,9,5,47,35,40,22,46,9,11,10,36
90399,1,9,5,7,6,31,35,39,26,41,2,11
43882,8,5,6,48,15,46,28,46,15,15,14,25
26615,5,2,8,10,14,50,15,35,44,48,20,35
76904,4,3,9,47,28,18,24,38,2,22,17,38
35899,9,7,5,47,7,45,40,1,43,34,18,41
48422,5,2,6,11,22,46,46,42,27,50,14,30
34552,8,3,2,14,18,13,8,49,45,20,23,12
85313,9,2,1,43,9,15,19,7,30,5,48,18
51602,6,3,8,3,22,43,25,20,30,44,33,12
70307,6,4,3,6,50,7,6,20,45,45,42,40
75871,9,8,4,25,30,50,6,39,6,18,6,1
70173,4,1,6,13,9,31,20,17,26,43,39,44
94200,8,9,6,37,31,42,45,40,43,29,20,23
35077,5,8,2,38,33,4,9,40,21,1,41,41
95241,3,2,4,29,33,42,26,6,21,26,28,21
76658,1,5,3,49,6,20,33,42,41,18,23,7
97151,2,8,9,50,12,38,22,35,31,6,32,34
75321,5,1,3,6,35,48,40,46,18,37,31,5
38981,3,5,6,16,44,45,46,33,10,12,30,33
96464,7,1,3,40,20,32,21,14,6,30,21,34
36809,3,4,2,17,21,35,7,22,37,26,4,42
37989,6,5,3,45,3,33,35,20,38,2,47,10
56227,4,8,7,16,50,43,44,49,18,6,28,50
98033,8,7,3,14,2,45,44,44,40,21,18,10
10866,8,5,6,4,4,41,23,30,21,44,36,26
42757,1,8,7,40,24,16,24,15,15,25,38,19
68095,7,8,2,34,16,26,1,43,17,27,31,33
72676,5,9,8,40,4,16,7,11,32,42,12,6
13127,6,8,4,31,9,11,4,46,15,48,35,10
97023,8,5,2,20,1,22,29,15,14,46,20,44
90643,1,5,3,15,42,47,11,1,11,28,41,3
10734,5,6,7,10,21,47,44,47,11,38,27,43
64250,3,9,5,12,35,49,30,47,30,10,36,18
27053,4,9,3,17,6,28,22,4,25,26,20,23
21411,4,5,8,39,37,39,19,32,24,13,47,24
73670,7,6,4,21,7,5,20,40,37,9,11,30
65654,3,8,2,26,18,48,41,42,35,1,19,8
36694,3,4,8,19,10,17,5,27,3,50,38,45
36547,4,6,8,50,35,25,42,4,22,25,23,19
77967,8,4,9,14,30,40,19,28,19,5,1,11
37643,4,1,7,43,37,46,20,40,8,28,10,11
95736,4,9,5,18,15,38,38,3,15,46,8,11
98578,9,7,4,23,41,35,24,12,18,33,41,9
91231,1,8,7,46,27,9,12,33,23,19,46,35
56212,6,2,8,38,40,43,41,27,28,48,2,38
46735,5,6,8,8,43,31,40,16,40,8,28,45
95952,4,3,7,1,39,32,9,41,10,15,47,47
43150,4,1,5,31,5,27,48,10,11,8,22,22
37234,3,7,4,50,36,20,29,23,21,13,10,50
68969,5,2,6,11,39,14,45,45,7,34,49,2
69559,6,1,3,11,28,37,22,33,19,48,27,14
83674,9,8,1,36,3,15,1,50,18,28,41,18
34148,1,4,3,18,1,38,23,15,22,5,44,7
74885,5,1,9,13,34,38,6,46,48,13,35,8
77711,4,5,2,47,42,7,34,43,35,46,40,4
21395,6,9,1,46,15,23,26,43,8,4,39,19
69701,3,9,6,31,41,31,13,46,14,35,12,33
73274,6,7,9,26,35,46,47,8,45,21,49,1
78228,2,6,3,24,25,14,19,29,29,23,40,10
14770,5,7,4,27,3,37,22,31,8,10,30,16
84021,4,9,8,46,14,35,18,48,17,19,12,19
64609,2,9,1,25,49,15,17,1,27,21,22,3
35525,5,2,1,17,9,43,33,8,11,48,27,40
92092,4,6,5,5,38,38,12,23,38,18,39,11
92705,1,8,4,27,13,23,7,4,47,27,27,28
75576,3,8,2,15,44,17,30,20,39,49,45,33
71541,2,1,9,28,22,25,50,41,38,26,36,7
82356,3,9,6,8,25,28,32,26,26,22,41,50
71620,1,5,8,8,31,41,39,18,40,13,48,17
81233,3,8,6,36,1,32,9,42,1,9,3,47
71085,2,4,6,12,7,37,18,19,42,16,50,4
49685,2,9,4,47,33,49,12,23,30,21,1,22
10105,4,1,2,37,39,19,43,13,5,42,35,13
75481,9,3,2,37,28,4,11,30,4,38,29,45
21755,3,9,4,7,15,43,4,4,19,43,12,47
61481,9,7,2,50,15,31,41,36,30,25,28,25
81068,6,7,9,33,35,4,49,47,21,8,35,5
27555,1,2,5,14,46,32,21,32,2,25,13,20
13851,1,7,4,40,46,38,37,16,41,47,35,44
76707,8,7,3,32,1,47,27,40,35,46,20,24
29441,4,1,8,18,2,11,35,34,37,16,32,40
20579,8,3,5,23,47,12,45,25,28,26,25,15
25557,4,9,1,50,39,21,17,2,2,40,20,14
32669,7,9,2,44,33,17,22,20,38,33,21,20
29604,8,2,1,24,21,21,46,50,22,42,15,35
31790,3,5,7,37,42,6,49,28,30,19,45,46
36935,4,7,5,35,29,20,10,23,4,38,9,5
76716,4,6,2,35,40,31,15,8,13,9,14,42
76945,3,4,2,38,5,49,39,29,49,42,5,14
11922,3,5,9,30,28,35,33,44,25,22,15,24
37907,7,6,2,3,6,13,6,8,21,37,22,30
30910,2,5,8,28,8,50,29,16,35,32,4,23
95837,9,8,1,16,33,34,49,28,11,1,8,16
76125,4,1,6,19,50,32,28,29,5,43,31,41
98594,8,4,1,9,50,7,20,41,36,38,28,25
71871,7,6,5,12,19,28,41,40,29,14,46,3
79659,4,3,9,4,2,5,44,41,2,22,9,22
